"","species","lon","lat"
"1","Qmacdougallii",-96.434,17.3925
"4","Qmacdougallii",-96.4488,17.3787
"26","Qmacdougallii",-96.4792,17.3943
"30","Qmacdougallii",-96.5072,17.5795
"50","Qmacdougallii",-96.5156,17.5815
"70","Qmacdougallii",-96.5326,17.6117
"79","Qmacdougallii",-96.5246,17.6152
